"Est Name","Address","City","State","Zip","Phone","License Number","Issued","Expires","AZ","Reg","FL","Total","Alzheimer","Adult Day","County"
"Cedarhurst of Jacksonville","2225 W. Morton Ave","Jacksonville",,"62650","2172452996","5105652","2019 Jan 06 12:00:00 AM","2020 Jan 06 12:00:00 AM","18","50",,"68","true","false","Morgan"
"Cedarhurst of Naperville","3333 75th Street","Woodridge","IL","60517","6303134992","5106189","2018 Jul 13 12:00:00 AM","2019 Jul 13 12:00:00 AM","24","85",,"109","true","false","DuPage"
"Cedarhurst of Quincy","319 S. 48th Street","Quincy","IL","62305","2177426067","5106825","2019 Mar 27 12:00:00 AM","2019 Jul 27 12:00:00 AM","56",,,"56","true","false","Adams"
"Cedarhurst of Shiloh, LLC","429 S. Main St","Shiloh","IL","62269","6186229890","5103558","2019 Feb 28 12:00:00 AM","2020 Feb 28 12:00:00 AM","31","56",,"87","true","false","St. Clair"
"Cedarhurst of Sparta","211 N. Market Street","Sparta",,"62286","6184432600","5104713","2018 May 30 12:00:00 AM","2019 May 30 12:00:00 AM",,"50",,"50","false","false","Randolph"
"Cedarhurst of Sparta Memory Care","217 N Market St","Sparta","IL","62286","3148842000","5106205","2018 May 30 12:00:00 AM","2019 May 30 12:00:00 AM","16",,,"16","true","false","Randolph"
"Cedarhurst of Waterloo","526 Legacy Drive","Waterloo",,"62298","6189394030","5106320","2018 Jun 14 12:00:00 AM","2019 Jun 14 12:00:00 AM",,"56",,"56","false","false","Monroe"
"Cedarhurst of Waterloo MC","518 Legacy Drive","Waterloo","IL","62298","6189394344","5106353","2018 Jun 14 12:00:00 AM","2019 Jun 14 12:00:00 AM","30",,,"30","true","false","Monroe"
"Cedarhurst of Yorkville","4040 Cannonball Trail","Yorkville","IL","60560","6303828725","5106833","2019 May 01 12:00:00 AM","2019 Sep 01 12:00:00 AM","20","53",,"73","true","false","Kendall"
"Centennial Pointe Assisted Living","3440 Hedley Road","Springfield",,"62712","2175469301","5105124","2018 Nov 14 12:00:00 AM","2019 Nov 14 12:00:00 AM",,"28",,"28","false","true","Sangamon"
"Central Baptist Village","4747 N Canfield Ave","Norridge","IL","60706","7085838500","5100364","2018 May 15 12:00:00 AM","2020 May 15 12:00:00 AM",,"96",,"96","false","false","Cook"
"Century Assisted Living I","701 South Lewis Lane","Carbondale","IL","62901","6185499898","5200867","2018 Apr 14 12:00:00 AM","2019 Apr 14 12:00:00 AM","12",,,"12","true","false","Jackson"
"Century Assisted Living II","703 Lewis Lane","Carbondale","IL","62901","6185499898","5200875","2018 Apr 14 12:00:00 AM","2019 Apr 14 12:00:00 AM","14",,,"14","true","false","Jackson"
"Charter Senior Living of Glen Ellyn","190 Geneva Road","Glen Ellyn",,"60137","6309090101","5107005","2019 Apr 01 12:00:00 AM","2019 Aug 01 12:00:00 AM","44",,,"44","true","false","DuPage"
"Cherryvale Place","1545 Temple Lane","Rockford",,"61112","8153328484","5105686","2018 Dec 31 12:00:00 AM","2019 Dec 31 12:00:00 AM","22","71","4","97","true","false","Winnebago"
"Christian Garden Villa I","3406 W. Washington St","Springfield","IL","62711","2177879600","5200925","2017 Mar 31 12:00:00 AM","2019 Mar 31 12:00:00 AM",,"10",,"10","false","false","Sangamon"
"Christian Garden Villa II","3408 W. Washington St.","Springfield","IL","62711","2177879600","5201147","2017 Mar 31 12:00:00 AM","2019 Mar 31 12:00:00 AM",,"10",,"10","false","false","Sangamon"
"Church Creek","1250 W. Central Road","Arlington Heights",,"60005","8475063200","5104085","2018 Feb 28 12:00:00 AM","2019 Feb 28 12:00:00 AM","21","13",,"34","true","false","Cook"
"Clarendale of Algonquin","2001 West Algonquin RD","Algonquin",,"60102","8474586800","5105702","2019 Feb 28 12:00:00 AM","2020 Feb 28 12:00:00 AM","54","60",,"114","true","false","Mc Henry"
"Clarendale of Mokena","21536 South Wolf Road","Mokena",,"60448","8154644418","5106767","2019 Apr 20 12:00:00 AM","2020 Apr 20 12:00:00 AM","40","53","3","96","false","false","Will"
"Colfax Manor Assisted Living","8200 S Colfax Ave.","Chicago",,"60617","7732034098","5201162","2019 Mar 30 12:00:00 AM","2020 Mar 30 12:00:00 AM","4",,,"4","true","false","Cook"
"Colonnade Senior Living, The","700 Weber Road","O' Fallon",,"62269","6186246000","5104614","2018 Jul 21 12:00:00 AM","2019 Jul 21 12:00:00 AM","43","82",,"125","true","false","St Clair"
"Concordia Village","4101 West Iles","Springfield","IL","62711","2177939429","5103228","2018 Dec 12 12:00:00 AM","2019 Dec 12 12:00:00 AM",,"48",,"48","false","false","Sangamon"
"Copper Creek Cottages","203 Stahlhut Dr","Lincoln",,"62656","2176518364","5105462","2018 Nov 15 12:00:00 AM","2019 Nov 15 12:00:00 AM","30",,,"30","true","true","Logan"
"Copper Creek Cottages","1007 E. Columbia St","Litchfield","IL","62056","2173241900","5106064","2018 Dec 04 12:00:00 AM","2019 Dec 04 12:00:00 AM","30",,,"30","true","true","Montgomery"
"Copper Creek Cottages","920 Country Club Road","Mattoon","IL","61938","2172350001","5105892","2018 Sep 19 12:00:00 AM","2019 Sep 19 12:00:00 AM","30",,,"30","true","true","Coles"
"Cordia Senior Residence","865 N. Cass Ave","Westmont","IL","60559","6308877000","5100406","2018 Oct 04 12:00:00 AM","2019 Oct 04 12:00:00 AM",,"116",,"116","false","false","DuPage"
"Cottage at New Perspective (The)","1902 Eleventh St.","Silvis","IL","61282","3097922800","5101053","2018 Apr 30 12:00:00 AM","2020 Apr 30 12:00:00 AM","13",,,"13","true","false","Rock Island"
"Cottages At Salem, Inc","339 S. Hotze Rd","Salem","IL","62881","6185948581","5201758","2018 Aug 25 12:00:00 AM","2019 Aug 25 12:00:00 AM","15",,,"15","true","false","Marion"
"Cottages of Fox Lake (The)  (Cottages 18 & 20 AZ)","16,18,20,22 Lilac Ave","Fox Lake","IL","60020","8474374663","5106429","2018 Jun 16 12:00:00 AM","2019 Jun 16 12:00:00 AM","32","32",,"64","true","false","Lake"
"Cottages of New Lenox, Cottage #1","1023 S. Cedar Rd","New Lenox","IL","60451","8154638880","5106916","2019 Apr 09 12:00:00 AM","2019 Aug 09 12:00:00 AM",,"16",,"16","false","false","Will"
"Cottages of New Lenox, Cottage #2","1025 S. Cedar Rd","New Lenox","IL","60451","8154638880","5106924","2019 Apr 09 12:00:00 AM","2019 Aug 09 12:00:00 AM","16",,,"16","true","false","Will"
"Cottages of New Lenox, Cottage #3","1027 S. Cedar Rd","New Lenox","IL","60451","8154638880","5106932","2019 Apr 09 12:00:00 AM","2019 Aug 09 12:00:00 AM","16",,,"16","true","false","Will"
"Cottages of New Lenox, Cottage #4","1029 S. Cedar Rd","New Lenox","IL","60451","8154638880","5106940","2019 Apr 09 12:00:00 AM","2019 Aug 09 12:00:00 AM","16",,,"16","true","false","Will"
"Cottages of New Lenox, Cottage #5","1031 S. Cedar Rd","New Lenox","IL","60451","8154638880","5106957","2019 Apr 09 12:00:00 AM","2019 Aug 09 12:00:00 AM","16",,,"16","true","false","Will"
"Country Comfort -Elmwood","829 Hurff Drive","Elmwood",,"61529","3097422274","5201386","2017 Nov 08 12:00:00 AM","2019 Nov 08 12:00:00 AM","6","6",,"12","true","false","Peoria"
"Country Comfort Henry","615 Patricia Ln","Henry","IL","61537","3093643607","5200818","2018 May 29 12:00:00 AM","2019 May 29 12:00:00 AM","8",,,"8","true","false","Marshall"
"Country Comfort Princeton","802 N. Mercer","Princeton","IL","61356","8158792096","5200800","2017 Nov 04 12:00:00 AM","2019 Nov 04 12:00:00 AM","8",,,"8","true","false","Bureau"
"Country Lane Memory Care","875 Riverton Road","Riverton",,"62561","2176294265","5105454","2018 Dec 04 12:00:00 AM","2019 Dec 04 12:00:00 AM","30",,,"30","true","true","Sangamon"
"Courtyard Estates of Bradford","100 Courtyard Estates","Bradford","IL","61421","3098978316","5102683","2018 Apr 15 12:00:00 AM","2020 Apr 15 12:00:00 AM",,"18",,"18","false","false","Stark"
"Courtyard Estates of Bushnell","1201 N.Cole St","Bushnell","IL","61422","3097728000","5103012","2018 Jul 07 12:00:00 AM","2019 Jul 07 12:00:00 AM","9","29",,"38","true","false","McDonough"
"Courtyard Estates of Farmington","1000 East Fort Street","Farmington",,"61531","3092452550","5105553","2019 Jan 18 12:00:00 AM","2020 Jan 18 12:00:00 AM","11","21",,"32","true","false","Fulton"
"Courtyard Estates of Galva","1000 Courtyard Estates","Galva","IL","61434","3099322600","5102733","2019 Apr 16 12:00:00 AM","2021 Apr 16 12:00:00 AM",,"32",,"32","false","false","Henry"
"Courtyard Estates of Kewanee","141 Junior Ave South","Kewanee","IL","61443","3098532460","5100414","2018 Dec 02 12:00:00 AM","2020 Dec 02 12:00:00 AM",,"35",,"35","false","false","Henry"
"Courtyard Estates of Knoxville","415 East Main Street","Knoxville",,"61448","3092892660","5105348","2019 Apr 02 12:00:00 AM","2020 Apr 02 12:00:00 AM","7","25",,"32","true","false","Knox"
"Courtyard Estates of Monmouth","1 Courtyard Blvd","Monmouth","IL","61462","3097349355","5101693","2018 Sep 27 12:00:00 AM","2020 Sep 27 12:00:00 AM",,"51",,"51","false","false","Warren"
"Courtyard Village of Kewanee","860 Sunset Dr","Kewanee","IL","61443","3098534044","5101537","2018 Dec 02 12:00:00 AM","2020 Dec 02 12:00:00 AM",,"39",,"39","false","false","Henry"
"Crimson Pointe","7130 Crimson Ridge Dr.","Rockford","IL","61107","8153987792","5103699","2018 Dec 27 12:00:00 AM","2019 Dec 27 12:00:00 AM",,"73",,"73","false","false","Winnebago"
"Eastland Retirement Community","901 Eastland Drive","Auburn",,"62615","2174389394","5105405","2019 Feb 11 12:00:00 AM","2020 Feb 11 12:00:00 AM",,"42",,"42","false","false","Sangamon"
"Eberhardt Village","431 W. Palmer","Arthur","IL","61911","2175433705","5101917","2018 Nov 15 12:00:00 AM","2019 Nov 15 12:00:00 AM",,"37",,"37","false","false","Moultrie"
"Eden Retirement Center, Inc","300 S.Station Rd","Glen Carbon","IL","62034","6182885014","5103020","2018 Aug 26 12:00:00 AM","2019 Aug 26 12:00:00 AM",,"74","50","124","false","false","Madison"
"Elevate Saint Andrew Living","7000 N. Newark Avenue","Niles",,"60714","8476478332","5106973","2019 Apr 01 12:00:00 AM","2019 Aug 01 12:00:00 AM","12","47",,"59","true","false","Cook"
"Elmcroft of Wyndcrest","4817 Oak Hill Road","Rochester",,"62563","2174986959","5104424","2018 Oct 29 12:00:00 AM","2020 Oct 29 12:00:00 AM",,"37",,"37","false","false","Sangamon"
"Emerald Place","1879 Chestnut Avenue","Glenview","IL","60025","2242069588","5106197","2019 Apr 13 12:00:00 AM","2020 Apr 13 12:00:00 AM","66",,,"66","true","false","Cook"
"Ems Haven of Rest","719 S. McKinley","Havana","IL","62644","3094020060","5200404","2018 Nov 28 12:00:00 AM","2020 Nov 28 12:00:00 AM",,"4",,"4","false","false","Mason"
"Estates Senior Living & Spa (Ninebark)","6800 Ninebark","Springfield","IL","62712","2179713905","5201733","2019 Jan 21 12:00:00 AM","2020 Jan 21 12:00:00 AM",,"6",,"6","false","false","Sangamon"
"Estates Senior Living & Spa, The","3305 Collingwood Drive","Springfield",,"62711","2179713905","5201477","2019 Feb 05 12:00:00 AM","2021 Feb 05 12:00:00 AM",,"5",,"5","false","false","Sangamon"
"Eve Assisted Living","10 N. Washington","Hinsdale","IL","60521","6304911000","5103756","2019 Apr 26 12:00:00 AM","2020 Apr 26 12:00:00 AM","11","50",,"61","true","false","DuPage"
"Ever-Green Manor Memory Care","8641 South Saginaw","Chicago","IL","60617","7732034098","5201782","2018 Nov 13 12:00:00 AM","2019 Mar 13 12:00:00 AM","6",,,"6","true","false","Cook"
"Evergreen Place","4114 West Springfield Avenue","Champaign",,"61822","2175304300","5106726","2019 Jan 01 12:00:00 AM","2020 Jan 01 12:00:00 AM",,"52",,"52","false","false","Champaign"
"Evergreen Place AL","801 W Gregory St","Normal","IL","61761","3094519355","5100497","2017 Jul 08 12:00:00 AM","2019 Jul 08 12:00:00 AM",,"60",,"60","false","false","McLean"
"Evergreen Place Senior Living - Orland Park","10820 183rd Street","Orland Park",,"60467","7084791082","5105439","2018 Jul 08 12:00:00 AM","2019 Jul 08 12:00:00 AM","40","76",,"116","true","false","Will"
"Evergreen Senior Living - Chillicothe","404 S. Stillwater Drive","Chillicothe",,"61523","3092745440","5105033","2019 Mar 09 12:00:00 AM","2020 Mar 09 12:00:00 AM","20","53",,"73","true","false","Peoria"
"Fairview Assisted Living","605 North 4th St.","Fairbury","IL","61739","8156922572","5201857","2018 Feb 01 12:00:00 AM","2020 Feb 01 12:00:00 AM",,"13",,"13","false","false","Livingston"
"Family 1st Shared Home of Oregon","8 Terrace View Blvd","Oregon","IL","61061","8157324045","5200628","2018 Dec 13 12:00:00 AM","2019 Dec 13 12:00:00 AM",,"16",,"16","false","false","Ogle"
"Fifth Season Res., Benton","401 N. DuQuoin St","Benton","IL","62812","6184396600","5101719","2018 Oct 13 12:00:00 AM","2020 Oct 13 12:00:00 AM",,"28",,"28","false","false","Franklin"
"Fifth Season Res., Radcliffe","915 Radcliffe St","Marion","IL","62959","6189932800","5100513","2019 Mar 13 12:00:00 AM","2020 Mar 13 12:00:00 AM",,"26",,"26","false","false","Williamson"
"Fountains at Crystal Lake","965 N. Brighton Circle","Crystal Lake","IL","60012","8154558400","5105140","2018 Jun 01 12:00:00 AM","2019 Jun 01 12:00:00 AM","15","80","40","135","true","false","McHenry"
"Fountainview Manor Memory Care","3432 Village Lane","Granite City","IL","62040","6189313999","5103129","2018 Sep 29 12:00:00 AM","2020 Sep 29 12:00:00 AM","46",,,"46","true","false","Madison"
"Fox Point","3300 Charles Miller Road","McHenry",,"60050","8153859840","5104408","2018 Oct 29 12:00:00 AM","2019 Oct 29 12:00:00 AM",,"80","17","97","false","false","McHenry"
"Fox Point Manor","3350 Charles Miller Road","McHenry",,"60050","8153859840","5104416","2018 Oct 29 12:00:00 AM","2019 Oct 29 12:00:00 AM","40",,,"40","true","true","McHenry"
"Fox River Apartments","1016 Parker St","Olney","IL","62450","6183926168","5100554","2018 Sep 12 12:00:00 AM","2019 Sep 12 12:00:00 AM",,"30",,"30","false","false","Richland"
"Franciscan Village of Lemont","1260 Franciscan Dr","Lemont","IL","60439","6302433500","5100570","2019 Jan 24 12:00:00 AM","2020 Jan 24 12:00:00 AM","14","33",,"47","true","false","Cook"
"Friendship Manor of Illinois","1209 21st Ave","Rock Island","IL","61201","3097869667","5101495","2017 Dec 23 12:00:00 AM","2018 Dec 23 12:00:00 AM","24","73",,"97","true","false","Rock Island"
"Friendship Village of Schaumburg","350 W Schaumburg Rd","Schaumburg","IL","60194","8478845000","5100604","2018 Oct 10 12:00:00 AM","2020 Oct 10 12:00:00 AM","24","82",,"106","true","false","Cook"
"Galena Stauss Assisted Living","200 Altenburg Dr","Galena","IL","61036","8157767375","5100612","2018 Oct 29 12:00:00 AM","2019 Oct 29 12:00:00 AM",,"24",,"24","false","false","Jo Daviess"
"Garden Place Columbia","480 DD Road","Columbia",,"62236","6182814200","5106007","2019 Jan 18 12:00:00 AM","2019 Sep 22 12:00:00 AM",,,"46","46","false","false","Monroe"
"Garden Place Millstadt","208 S. Kossuth","Millstadt","IL","62260","6184761440","5106049","2018 Sep 22 12:00:00 AM","2019 Sep 22 12:00:00 AM",,,"15","15","false","false","St Clair"
"Garden Place Red Bud","351 Lockwood","Red Bud","IL","62278","6182827775","5106015","2018 Sep 22 12:00:00 AM","2019 Sep 22 12:00:00 AM",,,"15","15","false","false","Randolph"
"Garden Place Waterloo","735 Columbia Ave","Waterloo",,"62298","6189394900","5106031","2018 Sep 22 12:00:00 AM","2019 Sep 22 12:00:00 AM",,,"20","20","false","false","Monroe"
"Gardens at Moweaqua (The)","525 South Macon Street","Moweaqua","IL","62550","2177683951","5105231","2019 Apr 01 12:00:00 AM","2021 Apr 01 12:00:00 AM",,"16",,"16","false","false","Shelby"
"Gardens at Park Pointe (The)","1550 Dupont Avenue","Morris",,"60450","8155857200","5105801","2018 Nov 14 12:00:00 AM","2019 Nov 14 12:00:00 AM","15","45",,"60","true","false","Grundy"
"Generations at Riverview Senior Living","500 Centennial Drive","East Peoria",,"61611","3096940022","5106759","2019 Mar 01 12:00:00 AM","2020 Mar 01 12:00:00 AM",,"42",,"42","false","false","Tazewell"
"Glenwood of Effingham, The","14061 East 1600th St.","Effingham",,"62401","2173478880","5104804","2018 Feb 28 12:00:00 AM","2019 Feb 28 12:00:00 AM",,"42",,"42","false","false","Effingham"
"Glenwood of Mahomet, The","1709 South Division Street","Mahomet",,"61853","2175865100","5104796","2018 Feb 28 12:00:00 AM","2020 Feb 28 12:00:00 AM",,"44",,"44","false","false","Champaign"
"Golden Age Assisted Living","5734 S. Thurlow St","Hinsdale","IL","60521","6302461968","5201543","2019 Apr 30 12:00:00 AM","2019 Oct 30 12:00:00 AM",,"4",,"4","false","false","Du Page"
"Good Samaritan Home of Quincy","2130 Harrison St","Quincy","IL","62301","2172238717","5103772","2017 May 15 12:00:00 AM","2019 May 15 12:00:00 AM",,"26",,"26","false","false","Adams"
"Grace Point Place","5701 W 101st","Oak Lawn","IL","60453","7082903255","5106403","2018 Sep 24 12:00:00 AM","2019 Sep 24 12:00:00 AM","66",,,"66","true","false","Cook"
"Grand Victorian of Rockford","3495 McFarland Road","Rockford",,"61114","8156541400","5105710","2018 Jul 16 12:00:00 AM","2019 Jul 16 12:00:00 AM",,,"62","62","false","false","Winnebago"
"Grand Victorian of Sycamore","1440 Somonauk Street","Sycamore",,"60173","8158951900","5105017","2019 Apr 21 12:00:00 AM","2020 Apr 21 12:00:00 AM",,,"61","61","false","false","DeKalb"
"Grand View Alzheimer's SCC","6210 N. University Street","Peoria","IL","61614","3093238518","5104895","2019 Apr 01 12:00:00 AM","2021 Apr 01 12:00:00 AM","38",,,"38","true","false","Peoria"
"Grand View Estates","540 Pleasant St","Elizabeth","IL","61028","8158582275","5100646","2018 May 26 12:00:00 AM","2019 May 26 12:00:00 AM",,"23",,"23","false","false","Jo Daviess"
"Green House of Clark-Lindsey Village (The)","101 W Windsor Rd","Urbana",,"61802","2173442144","5201675","2018 Jun 20 12:00:00 AM","2019 Jun 20 12:00:00 AM","12",,,"12","true","false","Champaign"
"Green Oaks Senior Living","14595 West Rockland Road","Libertyville","IL","60048","8476801205","5106098","2019 Feb 13 12:00:00 AM","2020 Feb 13 12:00:00 AM","24","48",,"72","true","false","Lake"
"Greenfields of Geneva","0N801 Friendship Way","Geneva","IL","60134","6305786600","5103954","2017 Dec 02 12:00:00 AM","2019 Dec 02 12:00:00 AM","26","51",,"77","true","false","Kane"
"Greentree at Mt. Vernon","208 Zackery Rd","Mt Vernon",,"62864","6182445580","5106841","2019 Feb 12 12:00:00 AM","2019 Jun 12 12:00:00 AM","30","82",,"112","true","false","Jefferson"
"Griggsville Estates","201 S. Oak","Griggsville","IL","62340","2178332369","5102121","2017 Sep 06 12:00:00 AM","2019 Sep 06 12:00:00 AM",,"20",,"20","false","false","Pike"
"Gurnee Manor","5631 Manchester","Gurnee","IL","60031","3125434404","5201709","2019 Feb 28 12:00:00 AM","2019 Jun 28 12:00:00 AM",,"8",,"8","false","false","Lake"
"Halina's Home Care-5th Avenue","825 N. 5th Avenue","St. Charles","IL","60174","6306700819","5201014","2018 Sep 26 12:00:00 AM","2019 Mar 26 12:00:00 AM",,"5",,"5","false","false","Kane"
"Halina's Home Care-Marion Ave","555 Marion Ave.","St. Charles",,"60174","6306700819","5201667","2019 Mar 27 12:00:00 AM","2019 Jul 27 12:00:00 AM",,,,"5","false","false","Kane"
"Harbor Chase of Long Grove","1190 Old McHenry Rd","Long Grove","IL","60047","8476134838","5106288","2018 Aug 02 12:00:00 AM","2019 Aug 02 12:00:00 AM","58","80",,"138","true","false","Lake"
"Harbor Chase of Naperville","1619 N. Mill Street","Naperville",,"60563","6307783475","5105603","2019 Feb 13 12:00:00 AM","2020 Feb 13 12:00:00 AM","32","69",,"101","true","false","Du Page"
"Harbor Chase of Plainfield","12446 S. Van Dyke Road","Plainfield",,"60585","8152673510","5104523","2018 Nov 26 12:00:00 AM","2019 Nov 26 12:00:00 AM","30","80",,"110","true","false","Will"
"Harry Ekstam Assisted Living","831 N. Batavia Ave","Batavia","IL","60510","6308794300","5100794","2019 Feb 07 12:00:00 AM","2020 Feb 07 12:00:00 AM","27","35",,"62","true","false","Kane"
"Hartwell Place","5520 N. Paulina St","Chicago","IL","60640","7732752400","5100653","2019 Feb 13 12:00:00 AM","2020 Feb 13 12:00:00 AM","29",,,"29","true","false","Cook"
"Harvest View","100 Harvest View Lane","Herscher","IL","60941","8154262000","5103004","2018 Jul 06 12:00:00 AM","2020 Jul 06 12:00:00 AM",,,"42","42","false","true","Kankakee"
"Harvester Place","150 South Frontage Road","Burr Ridge",,"60527","6302301170","5105314","2018 Nov 29 12:00:00 AM","2019 Nov 29 12:00:00 AM","66",,,"66","true","false","DuPage"
"Hawthorne Inn of Galesburg","2245 N. Seminary St.","Galesburg","IL","61401","3093435050","5101941","2018 Oct 29 12:00:00 AM","2020 Oct 29 12:00:00 AM","13","39",,"52","true","false","Knox"
"Hawthorne Inn of Parkway","3116 Williamson County Pk.","Marion","IL","62959","6189938600","5102253","2018 Jun 30 12:00:00 AM","2020 Jun 30 12:00:00 AM",,"17",,"17","false","false","Williamson"
"Hawthorne Inn of Peoria","6906 N Stalworth Dr.","Peoria","IL","61615","3096931400","5100687","2019 Feb 28 12:00:00 AM","2020 Feb 28 12:00:00 AM","13","39",,"52","true","false","Peoria"
"Hawthorne Inn of Peru","1101 31st St","Peru","IL","61354","8152242200","5100695","2019 Feb 07 12:00:00 AM","2021 Feb 07 12:00:00 AM","13","39",,"52","true","false","LaSalle"
"Hawthorne Inn of Pittsfield","625 Prospect St.","Pittsfield","IL","62363","2172855200","5102295","2017 Jun 27 12:00:00 AM","2019 Jun 27 12:00:00 AM",,"22",,"22","false","false","Pike"
"Hawthorne Inn of Rochelle","2201 Flagg Rd","Rochelle","IL","61068","8155614099","5106528","2018 Oct 01 12:00:00 AM","2020 Oct 01 12:00:00 AM",,,"46","46","false","false","Ogle"
"Hawthorne Inn of Shelbyville","1111 W. North 12th St.","Shelbyville","IL","62565","2177741020","5102246","2018 Jun 06 12:00:00 AM","2020 Jun 06 12:00:00 AM",,"20",,"20","false","false","Shelby"
"Hearthstone of Arlington Heights","800 W. Oakton St.","Arlington Heights","IL","60004","8473687300","5100729","2017 Aug 25 12:00:00 AM","2019 Aug 25 12:00:00 AM",,"100",,"100","false","false","Cook"
"Hearthstone Village","840 N. Seminary Ave","Woodstock","IL","60098","8153382110","5101859","2018 Jul 12 12:00:00 AM","2019 Jul 12 12:00:00 AM",,"73",,"73","false","false","McHenry"
"Heartis Village of Orland Park","7420 W. 159th Street","Orland Park","IL","60462","7084441231","5106262","2018 Nov 26 12:00:00 AM","2019 Nov 26 12:00:00 AM","24","72",,"96","true","false","Cook"
"Heartis Village of Peoria","8201 N. IL State Route 91","Peoria",,"61615","3096933960","5105595","2019 Apr 08 12:00:00 AM","2020 Apr 08 12:00:00 AM","36","72",,"108","true","false","Peoria"
"Heritage House/Carthage","601 Locust St","Carthage","IL","62321","2173573651","5200180","2018 Jun 24 12:00:00 AM","2019 Jun 24 12:00:00 AM",,"6",,"6","false","false","Hancock"
"Heritage Woods of Huntley, LLC","12450 Regency Parkway","Huntley","IL","60142","8476695185","5103251","2018 Sep 26 12:00:00 AM","2019 Sep 26 12:00:00 AM","30","81",,"111","true","true","Kane"
"Herrin Affordable","400 Lou Ann Drive","Herrin","IL","62948","6189889540","5100810","2019 Mar 19 12:00:00 AM","2020 Mar 19 12:00:00 AM",,"24",,"24","false","false","Williamson"
"Herrin Market","400 Lou Ann Dr","Herrin","IL","62948","6189889540","5100828","2019 Mar 19 12:00:00 AM","2020 Mar 19 12:00:00 AM",,"28",,"28","false","false","Williamson"
"Hickory Estates of Taylorville","1091 E. 1500 N. Rd","Taylorville","IL","62568","2178243355","5105926","2019 Mar 01 12:00:00 AM","2020 Mar 01 12:00:00 AM",,"46",,"46","false","false","Christian"
"Hickory Point Christian Village","565 W. Marion Ave","Forsyth","IL","62535","2178721122","5102097","2019 May 18 12:00:00 AM","2021 May 18 12:00:00 AM","18","30",,"48","true","false","Macon"
