est_name,address,city,state,zip,phone,license_number,issued,expires,az,reg,fl,total,alzheimer,adult_day,county,full_address
Brookdale Northbrook,4501 Concord Ln,Northbrook,IL,60062,8478037100,5101131,2018 Jul 08 12:00:00 AM,2019 Jul 08 12:00:00 AM,,44.0,26.0,70,False,False,Cook,"4501 Concord Ln, Northbrook, IL"
Brookdale Oak Park,1111 Ontario St,Oak Park,IL,60302,7083831111,5100786,2019 Feb 25 12:00:00 AM,2019 Aug 22 12:00:00 AM,,38.0,6.0,44,False,False,Cook,"1111 Ontario St, Oak Park, IL"
Brookdale Orland Park,16051 S. LaGrange Rd,Orland Park,IL,60467,7084032001,5103574,2019 Jan 06 12:00:00 AM,2019 Jul 06 12:00:00 AM,24.0,80.0,,104,True,False,Cook,"16051 S. LaGrange Rd, Orland Park, IL"
Brookdale Urbana,1706 E Amber Ln,Urbana,IL,61802,2173283150,5100349,2018 Oct 25 12:00:00 AM,2019 Apr 25 12:00:00 AM,20.0,71.0,,91,True,False,Champaign,"1706 E Amber Ln, Urbana, IL"
Brookdale Vernon Hills,145 N. Milwaukee Ave.,Vernon Hills,IL,60061,8477932470,5103798,2018 Dec 30 12:00:00 AM,2019 Dec 30 12:00:00 AM,,56.0,43.0,99,False,False,Lake,"145 N. Milwaukee Ave., Vernon Hills, IL"
Brookstone Estates of Charleston,300 Lincoln Highway,Charleston,nan,61920,2173486500,5105009,2018 Apr 19 12:00:00 AM,2019 Apr 19 12:00:00 AM,16.0,,,16,True,False,Coles,"300 Lincoln Highway, Charleston, IL"
Brookstone Estates of Olney,1110 North East Street,Olney,nan,62450,6183925870,5104994,2019 Apr 21 12:00:00 AM,2020 Apr 21 12:00:00 AM,,46.0,,46,False,False,Richland,"1110 North East Street, Olney, IL"
Burge House (The),424 N. Worthey Street,Flora,IL,62839,6186620931,5201774,2019 May 10 12:00:00 AM,2019 Nov 10 12:00:00 AM,,16.0,,16,False,False,Clay,"424 N. Worthey Street, Flora, IL"
"Caledonian House, The",2800 S Des Plaines Avenue,North Riverside,nan,60546,7084475092,5105496,2018 Dec 08 12:00:00 AM,2020 Dec 08 12:00:00 AM,20.0,,,20,True,False,Cook,"2800 S Des Plaines Avenue, North Riverside, IL"
Carriage Crossing Champaign,1701 Congressional Way,Champaign,nan,61822,2173038840,5105611,2018 Nov 05 12:00:00 AM,2020 Nov 05 12:00:00 AM,18.0,42.0,,60,True,False,Champaign,"1701 Congressional Way, Champaign, IL"
Carriage Crossing Senior Living,909 Green Mill Rd,Arcola,nan,61910,2172683516,5104366,2018 Aug 15 12:00:00 AM,2019 Aug 15 12:00:00 AM,14.0,42.0,,56,True,True,Douglas,"909 Green Mill Rd, Arcola, IL"
Carrington at Lincolnwood,3501 Northeast Parkway,Lincolnwood,IL,60712,8479736262,5106247,2018 Dec 20 12:00:00 AM,2019 Dec 20 12:00:00 AM,44.0,88.0,,132,True,False,Cook,"3501 Northeast Parkway, Lincolnwood, IL"
Casita Catherine AL,1510 N 10th St,Quincy,IL,62301,2172244850,5201725,2017 Oct 21 12:00:00 AM,2019 Oct 21 12:00:00 AM,,10.0,,10,False,False,Adams,"1510 N 10th St, Quincy, IL"
Cedar Lake Assisted Living & Memory Care,777 Church Street,Lake Zurich,nan,60047,8478474425,5105397,2019 Feb 01 12:00:00 AM,2020 Feb 01 12:00:00 AM,24.0,62.0,,86,True,False,Lake,"777 Church Street, Lake Zurich, IL"
Cedar Trails Senior Living,490 Urbana Drive,Freeburg,IL,62243,6185399190,5105983,2019 Apr 22 12:00:00 AM,2019 Dec 19 12:00:00 AM,16.0,45.0,,61,False,False,St Clair,"490 Urbana Drive, Freeburg, IL"
Cedarhurst of Bethalto,903 North Moreland Road,Bethalto,IL,62010,6183910335,5106171,2018 May 25 12:00:00 AM,2019 May 25 12:00:00 AM,18.0,50.0,,68,True,False,Madison,"903 North Moreland Road, Bethalto, IL"
Cedarhurst of Breese,13887 Progress Drive,Breese,IL,62230,6185269600,5106346,2018 Jun 14 12:00:00 AM,2019 Jun 14 12:00:00 AM,16.0,41.0,,57,True,False,Clinton,"13887 Progress Drive, Breese, IL"
Cedarhurst of Centralia,1827 E. Mc Cord,Centralia,IL,62801,6189183764,5101630,2019 Mar 22 12:00:00 AM,2020 Mar 22 12:00:00 AM,16.0,,,16,True,False,Marion,"1827 E. Mc Cord, Centralia, IL"
Cedarhurst of Collinsville,1207 Vandalia Avenue,Collinsville,nan,62234,6183430800,5105330,2019 Jan 01 12:00:00 AM,2020 Jan 01 12:00:00 AM,15.0,51.0,,66,True,False,Madison,"1207 Vandalia Avenue, Collinsville, IL"
Cedarhurst of Edwardsville,7108 Marine Road,Edwardsville,nan,62025,6186599112,5104606,2018 Aug 02 12:00:00 AM,2020 Aug 02 12:00:00 AM,54.0,,,54,True,False,Madison,"7108 Marine Road, Edwardsville, IL"
Cedarhurst of Godfrey,1000 Airport Rd,Godfrey,IL,62035,6184668831,5106890,2019 Apr 01 12:00:00 AM,2019 Aug 01 12:00:00 AM,,63.0,,63,False,False,Madison,"1000 Airport Rd, Godfrey, IL"
Cedarhurst of Granite City,3450 Village Ln,Granite City,IL,62040,6189313988,5106882,2019 Apr 01 12:00:00 AM,2019 Aug 01 12:00:00 AM,,72.0,,72,False,False,Madison,"3450 Village Ln, Granite City, IL"
Cedarhurst of Greenville,1200 E. Harris Avenue,Greenville,IL,62246,6186900116,5105942,2018 Nov 24 12:00:00 AM,2019 Nov 24 12:00:00 AM,16.0,,,16,True,False,Bond,"1200 E. Harris Avenue, Greenville, IL"
Cedarhurst of Highland,220 Field Crossing Dr.,Highland,IL,62249,6186543737,5106338,2018 Jun 14 12:00:00 AM,2019 Jun 14 12:00:00 AM,5.0,52.0,,57,True,False,Madison,"220 Field Crossing Dr., Highland, IL"
Cedarhurst of Jacksonville,2225 W. Morton Ave,Jacksonville,nan,62650,2172452996,5105652,2019 Jan 06 12:00:00 AM,2020 Jan 06 12:00:00 AM,18.0,50.0,,68,True,False,Morgan,"2225 W. Morton Ave, Jacksonville, IL"
Cedarhurst of Naperville,3333 75th Street,Woodridge,IL,60517,6303134992,5106189,2018 Jul 13 12:00:00 AM,2019 Jul 13 12:00:00 AM,24.0,85.0,,109,True,False,Dupage,"3333 75th Street, Woodridge, IL"
Cedarhurst of Quincy,319 S. 48th Street,Quincy,IL,62305,2177426067,5106825,2019 Mar 27 12:00:00 AM,2019 Jul 27 12:00:00 AM,56.0,,,56,True,False,Adams,"319 S. 48th Street, Quincy, IL"
"Cedarhurst of Shiloh, LLC",429 S. Main St,Shiloh,IL,62269,6186229890,5103558,2019 Feb 28 12:00:00 AM,2020 Feb 28 12:00:00 AM,31.0,56.0,,87,True,False,St. Clair,"429 S. Main St, Shiloh, IL"
Cedarhurst of Sparta,211 N. Market Street,Sparta,nan,62286,6184432600,5104713,2018 May 30 12:00:00 AM,2019 May 30 12:00:00 AM,,50.0,,50,False,False,Randolph,"211 N. Market Street, Sparta, IL"
Cedarhurst of Sparta Memory Care,217 N Market St,Sparta,IL,62286,3148842000,5106205,2018 May 30 12:00:00 AM,2019 May 30 12:00:00 AM,16.0,,,16,True,False,Randolph,"217 N Market St, Sparta, IL"
Cedarhurst of Waterloo,526 Legacy Drive,Waterloo,nan,62298,6189394030,5106320,2018 Jun 14 12:00:00 AM,2019 Jun 14 12:00:00 AM,,56.0,,56,False,False,Monroe,"526 Legacy Drive, Waterloo, IL"
Cedarhurst of Waterloo MC,518 Legacy Drive,Waterloo,IL,62298,6189394344,5106353,2018 Jun 14 12:00:00 AM,2019 Jun 14 12:00:00 AM,30.0,,,30,True,False,Monroe,"518 Legacy Drive, Waterloo, IL"
Cedarhurst of Yorkville,4040 Cannonball Trail,Yorkville,IL,60560,6303828725,5106833,2019 May 01 12:00:00 AM,2019 Sep 01 12:00:00 AM,20.0,53.0,,73,True,False,Kendall,"4040 Cannonball Trail, Yorkville, IL"
Centennial Pointe Assisted Living,3440 Hedley Road,Springfield,nan,62712,2175469301,5105124,2018 Nov 14 12:00:00 AM,2019 Nov 14 12:00:00 AM,,28.0,,28,False,True,Sangamon,"3440 Hedley Road, Springfield, IL"
Central Baptist Village,4747 N Canfield Ave,Norridge,IL,60706,7085838500,5100364,2018 May 15 12:00:00 AM,2020 May 15 12:00:00 AM,,96.0,,96,False,False,Cook,"4747 N Canfield Ave, Norridge, IL"
Century Assisted Living I,701 South Lewis Lane,Carbondale,IL,62901,6185499898,5200867,2018 Apr 14 12:00:00 AM,2019 Apr 14 12:00:00 AM,12.0,,,12,True,False,Jackson,"701 South Lewis Lane, Carbondale, IL"
Century Assisted Living II,703 Lewis Lane,Carbondale,IL,62901,6185499898,5200875,2018 Apr 14 12:00:00 AM,2019 Apr 14 12:00:00 AM,14.0,,,14,True,False,Jackson,"703 Lewis Lane, Carbondale, IL"
Charter Senior Living of Glen Ellyn,190 Geneva Road,Glen Ellyn,nan,60137,6309090101,5107005,2019 Apr 01 12:00:00 AM,2019 Aug 01 12:00:00 AM,44.0,,,44,True,False,Dupage,"190 Geneva Road, Glen Ellyn, IL"
Cherryvale Place,1545 Temple Lane,Rockford,nan,61112,8153328484,5105686,2018 Dec 31 12:00:00 AM,2019 Dec 31 12:00:00 AM,22.0,71.0,4.0,97,True,False,Winnebago,"1545 Temple Lane, Rockford, IL"
Christian Garden Villa I,3406 W. Washington St,Springfield,IL,62711,2177879600,5200925,2017 Mar 31 12:00:00 AM,2019 Mar 31 12:00:00 AM,,10.0,,10,False,False,Sangamon,"3406 W. Washington St, Springfield, IL"
Christian Garden Villa II,3408 W. Washington St.,Springfield,IL,62711,2177879600,5201147,2017 Mar 31 12:00:00 AM,2019 Mar 31 12:00:00 AM,,10.0,,10,False,False,Sangamon,"3408 W. Washington St., Springfield, IL"
Church Creek,1250 W. Central Road,Arlington Heights,nan,60005,8475063200,5104085,2018 Feb 28 12:00:00 AM,2019 Feb 28 12:00:00 AM,21.0,13.0,,34,True,False,Cook,"1250 W. Central Road, Arlington Heights, IL"
Clarendale of Algonquin,2001 West Algonquin RD,Algonquin,nan,60102,8474586800,5105702,2019 Feb 28 12:00:00 AM,2020 Feb 28 12:00:00 AM,54.0,60.0,,114,True,False,Mc Henry,"2001 West Algonquin RD, Algonquin, IL"
Clarendale of Mokena,21536 South Wolf Road,Mokena,nan,60448,8154644418,5106767,2019 Apr 20 12:00:00 AM,2020 Apr 20 12:00:00 AM,40.0,53.0,3.0,96,False,False,Will,"21536 South Wolf Road, Mokena, IL"
Colfax Manor Assisted Living,8200 S Colfax Ave.,Chicago,nan,60617,7732034098,5201162,2019 Mar 30 12:00:00 AM,2020 Mar 30 12:00:00 AM,4.0,,,4,True,False,Cook,"8200 S Colfax Ave., Chicago, IL"
"Colonnade Senior Living, The",700 Weber Road,O' Fallon,nan,62269,6186246000,5104614,2018 Jul 21 12:00:00 AM,2019 Jul 21 12:00:00 AM,43.0,82.0,,125,True,False,St Clair,"700 Weber Road, O' Fallon, IL"
Concordia Village,4101 West Iles,Springfield,IL,62711,2177939429,5103228,2018 Dec 12 12:00:00 AM,2019 Dec 12 12:00:00 AM,,48.0,,48,False,False,Sangamon,"4101 West Iles, Springfield, IL"
Copper Creek Cottages,203 Stahlhut Dr,Lincoln,nan,62656,2176518364,5105462,2018 Nov 15 12:00:00 AM,2019 Nov 15 12:00:00 AM,30.0,,,30,True,True,Logan,"203 Stahlhut Dr, Lincoln, IL"
Copper Creek Cottages,1007 E. Columbia St,Litchfield,IL,62056,2173241900,5106064,2018 Dec 04 12:00:00 AM,2019 Dec 04 12:00:00 AM,30.0,,,30,True,True,Montgomery,"1007 E. Columbia St, Litchfield, IL"
Copper Creek Cottages,920 Country Club Road,Mattoon,IL,61938,2172350001,5105892,2018 Sep 19 12:00:00 AM,2019 Sep 19 12:00:00 AM,30.0,,,30,True,True,Coles,"920 Country Club Road, Mattoon, IL"
Cordia Senior Residence,865 N. Cass Ave,Westmont,IL,60559,6308877000,5100406,2018 Oct 04 12:00:00 AM,2019 Oct 04 12:00:00 AM,,116.0,,116,False,False,Dupage,"865 N. Cass Ave, Westmont, IL"
Cottage at New Perspective (The),1902 Eleventh St.,Silvis,IL,61282,3097922800,5101053,2018 Apr 30 12:00:00 AM,2020 Apr 30 12:00:00 AM,13.0,,,13,True,False,Rock Island,"1902 Eleventh St., Silvis, IL"
"Cottages At Salem, Inc",339 S. Hotze Rd,Salem,IL,62881,6185948581,5201758,2018 Aug 25 12:00:00 AM,2019 Aug 25 12:00:00 AM,15.0,,,15,True,False,Marion,"339 S. Hotze Rd, Salem, IL"
Cottages of Fox Lake (The)  (Cottages 18 & 20 AZ),"16,18,20,22 Lilac Ave",Fox Lake,IL,60020,8474374663,5106429,2018 Jun 16 12:00:00 AM,2019 Jun 16 12:00:00 AM,32.0,32.0,,64,True,False,Lake,"16,18,20,22 Lilac Ave, Fox Lake, IL"
"Cottages of New Lenox, Cottage #1",1023 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106916,2019 Apr 09 12:00:00 AM,2019 Aug 09 12:00:00 AM,,16.0,,16,False,False,Will,"1023 S. Cedar Rd, New Lenox, IL"
"Cottages of New Lenox, Cottage #2",1025 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106924,2019 Apr 09 12:00:00 AM,2019 Aug 09 12:00:00 AM,16.0,,,16,True,False,Will,"1025 S. Cedar Rd, New Lenox, IL"
"Cottages of New Lenox, Cottage #3",1027 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106932,2019 Apr 09 12:00:00 AM,2019 Aug 09 12:00:00 AM,16.0,,,16,True,False,Will,"1027 S. Cedar Rd, New Lenox, IL"
"Cottages of New Lenox, Cottage #4",1029 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106940,2019 Apr 09 12:00:00 AM,2019 Aug 09 12:00:00 AM,16.0,,,16,True,False,Will,"1029 S. Cedar Rd, New Lenox, IL"
"Cottages of New Lenox, Cottage #5",1031 S. Cedar Rd,New Lenox,IL,60451,8154638880,5106957,2019 Apr 09 12:00:00 AM,2019 Aug 09 12:00:00 AM,16.0,,,16,True,False,Will,"1031 S. Cedar Rd, New Lenox, IL"
Country Comfort -Elmwood,829 Hurff Drive,Elmwood,nan,61529,3097422274,5201386,2017 Nov 08 12:00:00 AM,2019 Nov 08 12:00:00 AM,6.0,6.0,,12,True,False,Peoria,"829 Hurff Drive, Elmwood, IL"
Country Comfort Henry,615 Patricia Ln,Henry,IL,61537,3093643607,5200818,2018 May 29 12:00:00 AM,2019 May 29 12:00:00 AM,8.0,,,8,True,False,Marshall,"615 Patricia Ln, Henry, IL"
Country Comfort Princeton,802 N. Mercer,Princeton,IL,61356,8158792096,5200800,2017 Nov 04 12:00:00 AM,2019 Nov 04 12:00:00 AM,8.0,,,8,True,False,Bureau,"802 N. Mercer, Princeton, IL"
Country Lane Memory Care,875 Riverton Road,Riverton,nan,62561,2176294265,5105454,2018 Dec 04 12:00:00 AM,2019 Dec 04 12:00:00 AM,30.0,,,30,True,True,Sangamon,"875 Riverton Road, Riverton, IL"
Courtyard Estates of Bradford,100 Courtyard Estates,Bradford,IL,61421,3098978316,5102683,2018 Apr 15 12:00:00 AM,2020 Apr 15 12:00:00 AM,,18.0,,18,False,False,Stark,"100 Courtyard Estates, Bradford, IL"
Courtyard Estates of Bushnell,1201 N.Cole St,Bushnell,IL,61422,3097728000,5103012,2018 Jul 07 12:00:00 AM,2019 Jul 07 12:00:00 AM,9.0,29.0,,38,True,False,Mcdonough,"1201 N.Cole St, Bushnell, IL"
Courtyard Estates of Farmington,1000 East Fort Street,Farmington,nan,61531,3092452550,5105553,2019 Jan 18 12:00:00 AM,2020 Jan 18 12:00:00 AM,11.0,21.0,,32,True,False,Fulton,"1000 East Fort Street, Farmington, IL"
Courtyard Estates of Galva,1000 Courtyard Estates,Galva,IL,61434,3099322600,5102733,2019 Apr 16 12:00:00 AM,2021 Apr 16 12:00:00 AM,,32.0,,32,False,False,Henry,"1000 Courtyard Estates, Galva, IL"
Courtyard Estates of Kewanee,141 Junior Ave South,Kewanee,IL,61443,3098532460,5100414,2018 Dec 02 12:00:00 AM,2020 Dec 02 12:00:00 AM,,35.0,,35,False,False,Henry,"141 Junior Ave South, Kewanee, IL"
Courtyard Estates of Knoxville,415 East Main Street,Knoxville,nan,61448,3092892660,5105348,2019 Apr 02 12:00:00 AM,2020 Apr 02 12:00:00 AM,7.0,25.0,,32,True,False,Knox,"415 East Main Street, Knoxville, IL"
Courtyard Estates of Monmouth,1 Courtyard Blvd,Monmouth,IL,61462,3097349355,5101693,2018 Sep 27 12:00:00 AM,2020 Sep 27 12:00:00 AM,,51.0,,51,False,False,Warren,"1 Courtyard Blvd, Monmouth, IL"
Courtyard Village of Kewanee,860 Sunset Dr,Kewanee,IL,61443,3098534044,5101537,2018 Dec 02 12:00:00 AM,2020 Dec 02 12:00:00 AM,,39.0,,39,False,False,Henry,"860 Sunset Dr, Kewanee, IL"
Crimson Pointe,7130 Crimson Ridge Dr.,Rockford,IL,61107,8153987792,5103699,2018 Dec 27 12:00:00 AM,2019 Dec 27 12:00:00 AM,,73.0,,73,False,False,Winnebago,"7130 Crimson Ridge Dr., Rockford, IL"
Eastland Retirement Community,901 Eastland Drive,Auburn,nan,62615,2174389394,5105405,2019 Feb 11 12:00:00 AM,2020 Feb 11 12:00:00 AM,,42.0,,42,False,False,Sangamon,"901 Eastland Drive, Auburn, IL"
Eberhardt Village,431 W. Palmer,Arthur,IL,61911,2175433705,5101917,2018 Nov 15 12:00:00 AM,2019 Nov 15 12:00:00 AM,,37.0,,37,False,False,Moultrie,"431 W. Palmer, Arthur, IL"
"Eden Retirement Center, Inc",300 S.Station Rd,Glen Carbon,IL,62034,6182885014,5103020,2018 Aug 26 12:00:00 AM,2019 Aug 26 12:00:00 AM,,74.0,50.0,124,False,False,Madison,"300 S.Station Rd, Glen Carbon, IL"
Elevate Saint Andrew Living,7000 N. Newark Avenue,Niles,nan,60714,8476478332,5106973,2019 Apr 01 12:00:00 AM,2019 Aug 01 12:00:00 AM,12.0,47.0,,59,True,False,Cook,"7000 N. Newark Avenue, Niles, IL"
Elmcroft of Wyndcrest,4817 Oak Hill Road,Rochester,nan,62563,2174986959,5104424,2018 Oct 29 12:00:00 AM,2020 Oct 29 12:00:00 AM,,37.0,,37,False,False,Sangamon,"4817 Oak Hill Road, Rochester, IL"
Emerald Place,1879 Chestnut Avenue,Glenview,IL,60025,2242069588,5106197,2019 Apr 13 12:00:00 AM,2020 Apr 13 12:00:00 AM,66.0,,,66,True,False,Cook,"1879 Chestnut Avenue, Glenview, IL"
Ems Haven of Rest,719 S. McKinley,Havana,IL,62644,3094020060,5200404,2018 Nov 28 12:00:00 AM,2020 Nov 28 12:00:00 AM,,4.0,,4,False,False,Mason,"719 S. McKinley, Havana, IL"
Estates Senior Living & Spa (Ninebark),6800 Ninebark,Springfield,IL,62712,2179713905,5201733,2019 Jan 21 12:00:00 AM,2020 Jan 21 12:00:00 AM,,6.0,,6,False,False,Sangamon,"6800 Ninebark, Springfield, IL"
"Estates Senior Living & Spa, The",3305 Collingwood Drive,Springfield,nan,62711,2179713905,5201477,2019 Feb 05 12:00:00 AM,2021 Feb 05 12:00:00 AM,,5.0,,5,False,False,Sangamon,"3305 Collingwood Drive, Springfield, IL"
Eve Assisted Living,10 N. Washington,Hinsdale,IL,60521,6304911000,5103756,2019 Apr 26 12:00:00 AM,2020 Apr 26 12:00:00 AM,11.0,50.0,,61,True,False,Dupage,"10 N. Washington, Hinsdale, IL"
Ever-Green Manor Memory Care,8641 South Saginaw,Chicago,IL,60617,7732034098,5201782,2018 Nov 13 12:00:00 AM,2019 Mar 13 12:00:00 AM,6.0,,,6,True,False,Cook,"8641 South Saginaw, Chicago, IL"
Evergreen Place,4114 West Springfield Avenue,Champaign,nan,61822,2175304300,5106726,2019 Jan 01 12:00:00 AM,2020 Jan 01 12:00:00 AM,,52.0,,52,False,False,Champaign,"4114 West Springfield Avenue, Champaign, IL"
Evergreen Place AL,801 W Gregory St,Normal,IL,61761,3094519355,5100497,2017 Jul 08 12:00:00 AM,2019 Jul 08 12:00:00 AM,,60.0,,60,False,False,Mclean,"801 W Gregory St, Normal, IL"
Evergreen Place Senior Living - Orland Park,10820 183rd Street,Orland Park,nan,60467,7084791082,5105439,2018 Jul 08 12:00:00 AM,2019 Jul 08 12:00:00 AM,40.0,76.0,,116,True,False,Will,"10820 183rd Street, Orland Park, IL"
Evergreen Senior Living - Chillicothe,404 S. Stillwater Drive,Chillicothe,nan,61523,3092745440,5105033,2019 Mar 09 12:00:00 AM,2020 Mar 09 12:00:00 AM,20.0,53.0,,73,True,False,Peoria,"404 S. Stillwater Drive, Chillicothe, IL"
Fairview Assisted Living,605 North 4th St.,Fairbury,IL,61739,8156922572,5201857,2018 Feb 01 12:00:00 AM,2020 Feb 01 12:00:00 AM,,13.0,,13,False,False,Livingston,"605 North 4th St., Fairbury, IL"
Family 1st Shared Home of Oregon,8 Terrace View Blvd,Oregon,IL,61061,8157324045,5200628,2018 Dec 13 12:00:00 AM,2019 Dec 13 12:00:00 AM,,16.0,,16,False,False,Ogle,"8 Terrace View Blvd, Oregon, IL"
"Fifth Season Res., Benton",401 N. DuQuoin St,Benton,IL,62812,6184396600,5101719,2018 Oct 13 12:00:00 AM,2020 Oct 13 12:00:00 AM,,28.0,,28,False,False,Franklin,"401 N. DuQuoin St, Benton, IL"
"Fifth Season Res., Radcliffe",915 Radcliffe St,Marion,IL,62959,6189932800,5100513,2019 Mar 13 12:00:00 AM,2020 Mar 13 12:00:00 AM,,26.0,,26,False,False,Williamson,"915 Radcliffe St, Marion, IL"
Fountains at Crystal Lake,965 N. Brighton Circle,Crystal Lake,IL,60012,8154558400,5105140,2018 Jun 01 12:00:00 AM,2019 Jun 01 12:00:00 AM,15.0,80.0,40.0,135,True,False,Mchenry,"965 N. Brighton Circle, Crystal Lake, IL"
Fountainview Manor Memory Care,3432 Village Lane,Granite City,IL,62040,6189313999,5103129,2018 Sep 29 12:00:00 AM,2020 Sep 29 12:00:00 AM,46.0,,,46,True,False,Madison,"3432 Village Lane, Granite City, IL"
Fox Point,3300 Charles Miller Road,Mchenry,nan,60050,8153859840,5104408,2018 Oct 29 12:00:00 AM,2019 Oct 29 12:00:00 AM,,80.0,17.0,97,False,False,Mchenry,"3300 Charles Miller Road, Mchenry, IL"
Fox Point Manor,3350 Charles Miller Road,Mchenry,nan,60050,8153859840,5104416,2018 Oct 29 12:00:00 AM,2019 Oct 29 12:00:00 AM,40.0,,,40,True,True,Mchenry,"3350 Charles Miller Road, Mchenry, IL"
Fox River Apartments,1016 Parker St,Olney,IL,62450,6183926168,5100554,2018 Sep 12 12:00:00 AM,2019 Sep 12 12:00:00 AM,,30.0,,30,False,False,Richland,"1016 Parker St, Olney, IL"
Franciscan Village of Lemont,1260 Franciscan Dr,Lemont,IL,60439,6302433500,5100570,2019 Jan 24 12:00:00 AM,2020 Jan 24 12:00:00 AM,14.0,33.0,,47,True,False,Cook,"1260 Franciscan Dr, Lemont, IL"
Friendship Manor of Illinois,1209 21st Ave,Rock Island,IL,61201,3097869667,5101495,2017 Dec 23 12:00:00 AM,2018 Dec 23 12:00:00 AM,24.0,73.0,,97,True,False,Rock Island,"1209 21st Ave, Rock Island, IL"
Friendship Village of Schaumburg,350 W Schaumburg Rd,Schaumburg,IL,60194,8478845000,5100604,2018 Oct 10 12:00:00 AM,2020 Oct 10 12:00:00 AM,24.0,82.0,,106,True,False,Cook,"350 W Schaumburg Rd, Schaumburg, IL"
